"","lon","lat","address","ZIP"
"1405",-91.2698475,38.876393,"jonesburg, mo 63351, usa","63351"
"1406",-91.949021,36.981149,"willow springs, mo 65793, usa","65793"
"1407",-94.8022232,39.7898725,"st joseph, mo 64506, usa","64506"
"1408",-90.7342734,38.5037223,"pacific, mo 63069, usa","63069"
"1409",-90.5771493,38.6633659,"chesterfield, mo 63017, usa","63017"
"1410",-94.4490836,39.0177186,"kansas city, mo 64133, usa","64133"
"1411",-91.0203224,38.1855633,"sullivan, mo 63080, usa","63080"
"1412",-90.2901815,38.7888018,"florissant, mo 63033, usa","63033"
"1413",-90.4785495,38.6624944,"st. louis, mo 63141, usa","63141"
"1414",-90.4408037,38.767401,"bridgeton, mo 63044, usa","63044"
"1415",-93.7841503,38.3820458,"clinton, mo 64735, usa","64735"
"1416",-90.4125181,37.7655626,"farmington, mo 63640, usa","63640"
"1417",-94.3359635,38.6357514,"harrisonville, mo 64701, usa","64701"
"1418",-90.266699,38.5844866,"st. louis, mo 63116, usa","63116"
"1419",-90.5352356,38.557323,"ballwin, mo 63021, usa","63021"
"1420",-94.2538452,39.7184481,"cameron, mo 64429, usa","64429"
"1421",-94.8728093,40.349238,"maryville, mo 64468, usa","64468"
"1422",-94.5315029,38.8895526,"grandview, mo 64030, usa","64030"
"1423",-94.2128337,39.3068524,"excelsior springs, mo 64024, usa","64024"
"1424",-93.8451731,39.1535288,"lexington, mo 64067, usa","64067"
"1425",-89.5403279,37.2856186,"cape girardeau, mo 63703, usa","63703"
"1426",-91.5596117,40.1757481,"canton, mo 63435, usa","63435"
"1427",-92.7381672,38.9139378,"boonville, mo 65233, usa","65233"
"1428",-94.3359635,38.6357514,"harrisonville, mo 64701, usa","64701"
"1429",-91.0203224,36.906743,"van buren, mo 63965, usa","63965"
"1430",-91.7733566,38.4505956,"linn, mo 65051, usa","65051"
"1431",-90.2901815,38.8515561,"florissant, mo 63034, usa","63034"
"1432",-94.5727598,39.220735,"kansas city, mo 64118, usa","64118"
"1433",-89.9813445,36.7604012,"dexter, mo 63841, usa","63841"
"1434",-91.4821482,36.9018995,"birch tree, mo 65438, usa","65438"
"1435",-90.3936722,38.1259347,"festus, mo 63028, usa","63028"
"1436",-92.2433487,37.8087252,"waynesville, mo 65583, usa","65583"
"1437",-91.0394635,38.5434439,"washington, mo 63090, usa","63090"
"1438",-94.4284985,38.9143473,"lee's summit, mo 64081, usa","64081"
"1439",-90.25731,38.647459,"st. louis, mo 63108, usa","63108"
"1440",-94.6295394,39.1718041,"riverside, mo 64150, usa","64150"
"1441",-93.561026,37.7763747,"humansville, mo 65674, usa","65674"
"1442",-89.9813445,36.7604012,"dexter, mo 63841, usa","63841"
"1443",-89.5247581,37.3067825,"cape girardeau, mo 63701, usa","63701"
"1444",-89.9813445,36.5877934,"malden, mo 63863, usa","63863"
"1445",-92.1057549,39.2601347,"centralia, mo 65240, usa","65240"
"1446",-89.5874819,36.9103926,"sikeston, mo 63801, usa","63801"
"1447",-90.1682271,36.1544228,"senath, mo 63876, usa","63876"
"1448",-90.4125181,37.7655626,"farmington, mo 63640, usa","63640"
"1449",-91.0011902,38.4176258,"union, mo 63084, usa","63084"
"1450",-90.2854839,38.65788,"st. louis, mo 63112, usa","63112"
"1451",-93.238251,36.6734189,"branson, mo 65616, usa","65616"
"1452",-93.3892894,37.1953893,"springfield, mo 65802, usa","65802"
"1453",-90.4596721,38.494606,"fenton, mo 63026, usa","63026"
"1454",-92.5594214,38.6041231,"california, mo 65018, usa","65018"
"1455",-91.5402327,39.081776,"wellsville, mo 63384, usa","63384"
"1456",-91.8708613,36.7242055,"west plains, mo 65775, usa","65775"
"1457",-90.3936722,38.1259347,"festus, mo 63028, usa","63028"
"1458",-90.3465971,38.8095735,"florissant, mo 63031, usa","63031"
"1459",-94.4542311,39.0747341,"independence, mo 64052, usa","64052"
"1460",-93.0375914,39.7977118,"brookfield, mo 64628, usa","64628"
"1461",-92.2630393,37.1472142,"mountain grove, mo 65711, usa","65711"
"1462",-92.4208713,39.4199303,"moberly, mo 65270, usa","65270"
"1463",-89.8692203,36.4580062,"gideon, mo 63848, usa","63848"
"1464",-93.9266502,36.9109144,"monett, mo 65708, usa","65708"
"1465",-93.1980527,36.5882363,"hollister, mo 65672, usa","65672"
"1466",-91.714958,36.9847466,"mountain view, mo 65548, usa","65548"
"1467",-90.5771493,38.6633659,"chesterfield, mo 63017, usa","63017"
"1468",-91.2313618,38.5415904,"new haven, mo 63068, usa","63068"
"1469",-90.7152749,37.1665844,"piedmont, mo 63957, usa","63957"
"1470",-90.2901815,38.5161654,"st. louis, mo 63125, usa","63125"
"1471",-92.1057549,38.0020359,"dixon, mo 65459, usa","65459"
"1472",-91.1736994,39.2732095,"bowling green, mo 63334, usa","63334"
"1473",-93.5913939,39.2135346,"waverly, mo 64096, usa","64096"
"1474",-91.5789994,39.4964568,"center, mo 63436, usa","63436"
"1475",-94.4696765,38.9752926,"kansas city, mo 64138, usa","64138"
"1476",-90.2948797,38.6159025,"st. louis, mo 63139, usa","63139"
"1477",-92.6586401,37.7364113,"lebanon, mo 65536, usa","65536"
"1478",-92.6685736,38.1280947,"osage beach, mo 65065, usa","65065"
"1479",-90.6488505,38.3674615,"cedar hill, mo 63016, usa","63016"
"1480",-93.7638256,38.1509808,"lowry city, mo 64763, usa","64763"
"1481",-90.9438468,39.0255853,"troy, mo 63379, usa","63379"
"1482",-91.8903882,38.7006493,"mokane, mo 65059, usa","65059"
"1483",-94.3770704,39.2593487,"liberty, mo 64068, usa","64068"
"1484",-89.6628111,37.4249656,"jackson, mo 63755, usa","63755"
"1485",-90.3301342,38.6446552,"st. louis, mo 63105, usa","63105"
"1486",-91.3083685,38.4146113,"gerald, mo 63037, usa","63037"
"1487",-90.4879916,36.7378524,"poplar bluff, mo 63901, usa","63901"
"1488",-94.028678,40.279759,"bethany, mo 64424, usa","64424"
"1489",-94.4696765,38.9752926,"kansas city, mo 64138, usa","64138"
"1490",-94.028678,37.782571,"el dorado springs, mo 64744, usa","64744"
"1491",-94.5005808,36.6756029,"anderson, mo 64831, usa","64831"
"1492",-90.4879916,36.7378524,"poplar bluff, mo 63901, usa","63901"
"1493",-89.9440061,36.9325964,"bloomfield, mo 63825, usa","63825"
"1494",-93.8044831,37.1293121,"mt vernon, mo 65712, usa","65712"
"1495",-94.5418141,39.3773395,"smithville, mo 64089, usa","64089"
"1496",-93.3993751,37.3554104,"willard, mo 65781, usa","65781"
"1497",-94.3462373,39.0632021,"independence, mo 64057, usa","64057"
"1498",-90.4643906,38.6887567,"st. louis, mo 63146, usa","63146"
"1499",-93.8691413,36.6772411,"cassville, mo 65625, usa","65625"
"1500",-91.4241426,39.705018,"hannibal, mo 63401, usa","63401"
"1501",-94.5186165,39.116435,"kansas city, mo 64123, usa","64123"
"1502",-93.1980527,36.9756433,"ozark, mo 65721, usa","65721"
"1503",-93.7841503,37.7057536,"stockton, mo 65785, usa","65785"
"1504",-94.2128337,36.9440683,"granby, mo 64844, usa","64844"
"1505",-91.4241426,39.705018,"hannibal, mo 63401, usa","63401"
"1506",-91.9685826,37.3022868,"houston, mo 65483, usa","65483"
"1507",-93.1177555,37.6189071,"buffalo, mo 65622, usa","65622"
"1508",-90.9820668,37.2075291,"ellington, mo 63638, usa","63638"
"1509",-93.1880083,37.1795562,"springfield, mo 65809, usa","65809"
"1510",-91.7928402,40.0904834,"lewistown, mo 63452, usa","63452"
"1511",-93.2986106,37.294172,"springfield, mo 65803, usa","65803"
"1512",-94.4593791,38.7984122,"raymore, mo 64083, usa","64083"
"1513",-93.3892894,37.1953893,"springfield, mo 65802, usa","65802"
"1514",-89.5874819,36.9103926,"sikeston, mo 63801, usa","63801"
"1515",-93.5407909,39.8040617,"chillicothe, mo 64601, usa","64601"
"1516",-91.8708613,39.1810112,"mexico, mo 65265, usa","65265"
"1517",-92.2433487,38.5686223,"jefferson city, mo 65109, usa","65109"
"1518",-91.7344155,40.3979176,"kahoka, mo 63445, usa","63445"
"1519",-90.4596721,38.7254453,"maryland heights, mo 63043, usa","63043"
"1520",-90.1869644,37.9359276,"ste. genevieve, mo 63670, usa","63670"
"1521",-94.3770704,39.2593487,"liberty, mo 64068, usa","64068"
"1522",-94.5830789,36.8015396,"seneca, mo 64865, usa","64865"
"1523",-89.6439924,37.1467674,"chaffee, mo 63740, usa","63740"
"1524",-94.3359635,37.8352892,"nevada, mo 64772, usa","64772"
"1525",-92.5792482,37.140779,"mansfield, mo 65704, usa","65704"
"1526",-91.0011902,38.3333922,"st clair, mo 63077, usa","63077"
"1527",-90.1120696,36.9970304,"puxico, mo 63960, usa","63960"
"1528",-92.332541,38.951674,"columbia, mo 65201, usa","65201"
"1529",-90.25731,38.647459,"st. louis, mo 63108, usa","63108"
"1530",-93.9470396,38.9628463,"odessa, mo 64076, usa","64076"
"1531",-89.5247581,37.3067825,"cape girardeau, mo 63701, usa","63701"
"1532",-90.9438468,36.6488463,"doniphan, mo 63935, usa","63935"
"1533",-94.5211935,40.2616012,"stanberry, mo 64489, usa","64489"
"1534",-93.2181477,39.0684813,"marshall, mo 65340, usa","65340"
"1535",-90.403094,38.4317165,"arnold, mo 63010, usa","63010"
"1536",-94.4490836,39.0177186,"kansas city, mo 64133, usa","64133"
"1537",-94.4284985,38.9143473,"lee's summit, mo 64081, usa","64081"
"1538",-94.3359635,38.6357514,"harrisonville, mo 64701, usa","64701"
"1539",-90.3371889,37.5103298,"fredericktown, mo 63645, usa","63645"
"1540",-90.9438468,37.9323059,"potosi, mo 63664, usa","63664"
"1541",-92.6387795,39.1454097,"fayette, mo 65248, usa","65248"
"1542",-90.4691097,38.8405221,"st charles, mo 63301, usa","63301"
"1543",-93.3993751,37.6536889,"bolivar, mo 65613, usa","65613"
"1544",-92.8976254,37.304634,"marshfield, mo 65706, usa","65706"
"1545",-91.4048249,37.5877447,"salem, mo 65560, usa","65560"
"1546",-92.7381672,38.9139378,"boonville, mo 65233, usa","65233"
"1547",-90.4596721,38.7254453,"maryland heights, mo 63043, usa","63043"
"1548",-90.2455769,38.6605914,"st. louis, mo 63113, usa","63113"
"1549",-92.8178291,39.4110222,"salisbury, mo 65281, usa","65281"
"1550",-92.8377656,38.429727,"versailles, mo 65084, usa","65084"
"1551",-90.2901815,38.7469318,"st. louis, mo 63135, usa","63135"
"1552",-92.15,38.5,"jefferson city, mo 65110, usa","65110"
"1553",-90.0559939,36.241375,"kennett, mo 63857, usa","63857"
"1554",-94.5521274,39.0345609,"kansas city, mo 64130, usa","64130"
"1555",-90.3418927,38.7415569,"st. louis, mo 63134, usa","63134"
"1556",-92.797901,39.2248465,"glasgow, mo 65254, usa","65254"
"1557",-92.4208713,39.4199303,"moberly, mo 65270, usa","65270"
"1558",-95.3311652,40.4510615,"tarkio, mo 64491, usa","64491"
"1559",-93.8691413,36.6772411,"cassville, mo 65625, usa","65625"
"1560",-90.5352356,38.557323,"ballwin, mo 63021, usa","63021"
"1561",-93.3993751,37.6536889,"bolivar, mo 65613, usa","65613"
"1562",-91.4821482,38.265078,"owensville, mo 65066, usa","65066"
"1563",-90.4125181,37.0822449,"greenville, mo 63944, usa","63944"
"1564",-89.5874819,36.9103926,"sikeston, mo 63801, usa","63801"
"1565",-89.6628111,36.3926615,"portageville, mo 63873, usa","63873"
